,BTC,ETH,XRP,ADA,XLM,LTC,TRX,UBQ,BIS,IOTA,EMC2,FUN,ADST,total
2018-01-01 00:00:00,79.71349954139916,1379.200732427249,1838.3848911865252,562.6085066288668,371.85110694571836,190.96973234386726,118.96789794046526,84.32594013174352,108.03301926123572,157.41299924956223,33.69761944467606,45.37230594846994,46.69046040190111,5017.228711451679
2018-01-02 00:00:00,86.92474098632408,1569.3476969747207,1896.2287608785746,600.6428197264817,434.90024668048073,211.9187733112309,179.99363447990055,89.71295482801497,135.90385412349775,157.65602983837547,36.350600911728144,46.97512621467053,62.01614312474099,5508.5713820787405
2018-01-03 00:00:00,88.50286950012477,1714.2149240622143,2386.238875488647,831.805705730683,692.5539539965067,204.08383930799306,217.40021625218336,104.12138401397327,112.02528487066458,163.34849039341262,36.941395658321554,57.074057366713795,67.16096214755053,6675.471958788989
2018-01-04 00:00:00,90.50509738914215,1740.541521094074,2446.746788230419,851.93535018649,557.5575080812267,200.05801906340656,475.7631496062992,98.77486945710734,143.48777455449653,160.80915043514298,40.65478657273104,91.42938750435144,73.50499544135933,6971.768397616245
2018-01-05 00:00:00,101.29223744292237,1773.2909532586139,2335.927770859278,768.444694063927,511.17130580323794,206.94894146948945,505.381320049813,99.24144458281445,127.92528019925282,148.04794520547946,34.670547945205485,84.41462084682442,81.2705481444583,6778.027609871317
2018-01-06 00:00:00,101.85886259858863,1851.422964549606,2366.562889165629,791.8472395184725,547.6036539227896,246.11872146118716,400.53110834371114,87.89524283935245,158.61519302615196,155.54904109589043,34.37170610211706,90.86396413449566,72.8833981569116,6906.123984914902
2018-01-07 00:00:00,95.76023246160233,2049.5789686176845,2588.6674968866746,776.4715649647158,539.6589291407223,239.47696139476963,457.49090909090904,99.39272727272729,180.18929016189293,160.6813698630137,33.185902864259035,88.17800852801993,81.42388580323787,7390.1562470502295
2018-01-08 00:00:00,88.69180656477073,2053.6077084272947,1895.3896266599847,695.2942888165037,488.3363564770734,213.61396475402992,350.37223753445255,94.359308443999,184.635429716863,152.90992232523178,29.954973690804305,101.89241801553493,94.51339032823854,6443.57143175478
2018-01-09 00:00:00,85.62504190412338,2331.9614393228294,1623.5752598055644,632.2930087160576,456.0112577187395,207.0398927254441,288.63419376466646,91.47651692926584,193.24505531344283,141.08080791149848,31.082773214884348,94.133305152531,95.95444834897755,6272.113000828025
2018-01-10 00:00:00,87.40251834556372,2241.8879371247494,1515.4477985323551,612.4333272181455,439.22419538025355,208.90593729152766,298.1706804536357,87.06809539693134,202.04469646430954,149.89187791861238,28.966536024016,85.73574281187459,105.28779018512341,6062.467133147098
2018-01-11 00:00:00,78.08987268036948,2057.4899669634688,1496.9418324040942,530.4730897894649,431.50380529250236,190.87126570691518,250.5290837979529,70.9652658733461,237.5634517766498,133.355754348007,23.922572189398355,69.16217576599817,101.2253535408172,5672.093490128985
2018-01-12 00:00:00,80.63294059487521,2245.7603130921975,1550.5479113454726,684.7593375628244,518.9686884732636,195.15531020845347,247.54723572546763,88.27993738156054,254.51429513059242,144.57491142786517,28.716169564142703,74.13988164455797,182.47524099859936,6296.0721731498725
2018-01-13 00:00:00,82.82227898162647,2463.1044740875013,1535.3464612342425,674.5479311197166,514.0726419049189,213.5535964406361,234.30551207052815,86.02789816264317,227.37414517590835,154.36995962758508,36.019650655021834,72.31080705446156,229.78363681305103,6523.6389933278415
2018-01-14 00:00:00,79.42984262997446,2410.8057046222293,1413.7348603444013,612.0908066243718,482.911249831095,196.65485704869408,192.79749526242068,78.67123671417976,213.80407019856634,146.5339210678092,30.283698607563647,68.43817865699927,155.44187196176978,6081.597793570075
2018-01-15 00:00:00,79.70552854906484,2278.779974623054,1276.92180934333,594.0278174178133,458.73338384279486,191.7854494520887,172.1310373238856,72.66579879706683,180.6327758095081,136.3470709401005,28.102327593309713,63.82922379830271,121.6501606657329,5655.312358156052
2018-01-17 00:56:00,65.740203606,1842.1825546449863,900.4152416985,476.30930577039993,337.686902871201,154.171155468,120.503877,58.65826992269881,145.9502885532,101.7019605388611,19.316136465000003,42.99065817852959,80.002890735327,4345.629445452705
2018-01-17 01:12:00,65.71297292,1867.2889787627034,912.06750285,480.94020917600005,343.690836113016,157.92947519999996,123.829182408,57.92052248159521,146.12313075024,103.19061262965839,18.659935377000004,45.141209299305004,79.941657218976,4402.436225186493
2018-01-17 01:13:00,65.71297292,1867.2889787627034,912.06750285,480.94020917600005,343.690836113016,157.92947519999996,123.829182408,57.92052248159521,146.12313075024,103.19061262965839,18.659935377000004,45.141209299305004,79.941657218976,4402.436225186493
2018-01-17 08:12:00,64.23865800240002,1756.5946945395663,897.412748661,443.6319961466,324.010830813021,149.520352812,123.961467276,57.6612205479858,134.71327707996,99.97278815591429,20.8090375335,44.137304238275995,76.75277366238299,4193.417149468606
2018-01-17 19:32:00,56.98067542089999,1510.5990163905842,748.33272646875,372.7744554968,261.71044136122504,129.407144372,117.989465664,47.968595481949805,120.42920584331999,87.5101777431354,15.747372018,37.130657078097,54.97720432942501,3561.5571376681864
2018-01-17 20:11:00,57.02509386266,1517.1689388956243,756.6456068077499,374.799983915,262.483833511908,130.717946326,128.946723348,49.117271742243005,120.12483321246,89.1204032773626,16.143237477,37.2362599013652,53.689939852437,3593.22007212981
2018-01-17 21:30:00,62.3884489844,1699.516236474883,853.71470271225,446.508988695,315.454359968901,144.06065093200002,162.80069980800002,53.57221049377021,129.80160826506003,99.40080478445701,17.635405194,40.844313178023604,62.190915934833,4087.8893454255776
