,BTC,ETH,XRP,LTC
2012-06-13,4.675283229615446,,,
2012-06-14,4.700820651740897,,,
2012-06-15,5.096856144807875,,,
2012-06-16,5.088917116544935,,,
2012-06-17,4.914258494760241,,,
2012-06-18,4.80266286257727,,,
2012-06-19,5.119264600998494,,,
2012-06-20,5.226700251889168,,,
2012-06-21,5.240726124704025,,,
2012-06-22,5.255602520137172,,,
2012-06-23,5.143950873275381,,,
2012-06-24,5.104075285110455,,,
2012-06-25,5.012812299807815,,,
2012-06-26,5.138276553106213,,,
2012-06-27,5.201154031094727,,,
2012-06-28,5.234337252375584,,,
2012-06-29,5.178713264495632,,,
2012-06-30,5.250198570293885,,,
2012-07-01,5.178713264495632,,,
2012-07-02,5.2489478281585,,,
2012-07-03,5.121272365805169,,,
2012-07-04,5.127388535031847,,,
2012-07-05,5.3114437469821345,,,
2012-07-06,5.324392017451725,,,
2012-07-07,5.485982063504888,,,
2012-07-08,5.437505049688939,,,
2012-07-09,5.6454893028552835,,,
2012-07-10,5.763125763125764,,,
2012-07-11,5.823817292006525,,,
2012-07-12,6.232550500903268,,,
2012-07-13,6.228970045137465,,,
2012-07-14,6.196142798522774,,,
2012-07-15,6.2125564218301195,,,
2012-07-16,6.81612876734828,,,
2012-07-17,6.9619737806367565,,,
2012-07-18,7.356547327121137,,,
2012-07-19,7.129486449092537,,,
2012-07-20,6.918032786885246,,,
2012-07-21,7.163934426229509,,,
2012-07-22,6.901639344262295,,,
2012-07-23,7.096241222635275,,,
2012-07-24,7.122177185871452,,,
2012-07-25,7.120487885281029,,,
2012-07-26,7.137030995106036,,,
2012-07-27,7.168953478931558,,,
2012-07-28,7.20954777949176,,,
2012-07-29,7.0715271575870755,,,
2012-07-30,7.3493385595296425,,,
2012-07-31,7.55454249430153,,,
2012-08-01,7.684176288827451,,,
2012-08-02,8.456180139316379,,,
2012-08-03,8.811759902000816,,,
2012-08-04,8.583095140873827,,,
2012-08-05,8.746427113107393,,,
2012-08-06,8.756765489942644,,,
2012-08-07,8.64425860405275,,,
2012-08-08,8.908884565499351,,,
2012-08-09,8.942362409560198,,,
2012-08-10,9.231772957103246,,,
2012-08-11,9.28070461588648,,,
2012-08-12,9.370412656989073,,,
2012-08-13,9.63611313720723,,,
2012-08-14,9.917422279792746,,,
2012-08-15,10.597914630172694,,,
2012-08-16,10.929228764557374,,,
2012-08-17,10.132122882386318,,,
2012-08-18,9.353975845019047,,,
2012-08-19,6.533192834562698,,,
2012-08-20,8.170731707317074,,,
2012-08-21,8.191181203733505,,,
2012-08-22,8.001285347043703,,,
2012-08-23,7.982791586998087,,,
2012-08-24,8.291356840169504,,,
2012-08-25,8.451267290317423,,,
2012-08-26,8.243383705125131,,,
2012-08-27,8.603351955307263,,,
2012-08-28,8.766337264902774,,,
2012-08-29,8.593064966121961,,,
2012-08-30,8.490114795918368,,,
2012-08-31,8.05645864721275,,,
2012-09-01,7.858219015145507,,,
2012-09-02,8.07231781777813,,,
2012-09-03,8.394334818586888,,,
2012-09-04,8.235948803561492,,,
2012-09-05,8.737478136428685,,,
2012-09-06,8.719734135147966,,,
2012-09-07,8.680938139461672,,,
2012-09-08,8.6337163544782,,,
2012-09-09,8.641586651975445,,,
2012-09-10,8.570757670632435,,,
2012-09-11,8.633768671306795,,,
2012-09-12,8.63833746898263,,,
2012-09-13,8.752904725019366,,,
2012-09-14,8.781977854142802,,,
2012-09-15,8.881252386407025,,,
2012-09-16,8.972890416189385,,,
2012-09-17,9.055479138010087,,,
2012-09-18,9.12364026352076,,,
2012-09-19,9.475465313028765,,,
2012-09-20,9.47969739076733,,,
2012-09-21,9.385586695411149,,,
2012-09-22,9.216199568832769,,,
2012-09-23,9.231598398521713,,,
2012-09-24,9.213378755032517,,,
2012-09-25,9.08598824621095,,,
2012-09-26,9.497859089139743,,,
2012-09-27,9.491999378592512,,,
2012-09-28,9.497293116782677,,,
2012-09-29,9.497293116782677,,,
2012-09-30,9.450889404485693,,,
2012-10-01,9.427661722450882,,,
2012-10-02,9.77571539056458,,,
2012-10-03,9.99690018598884,,,
2012-10-04,9.705814222839935,,,
2012-10-05,9.613905552991847,,,
2012-10-06,9.529303184125519,,,
2012-10-07,9.006306722042764,,,
2012-10-08,8.967433245871275,,,
2012-10-09,9.256542885817957,,,
2012-10-10,9.496469858018466,,,
2012-10-11,9.359033906177427,,,
2012-10-12,9.175019275250579,,,
2012-10-13,9.136468774094064,,,
2012-10-14,9.090208172706244,,,
2012-10-15,8.98928378690926,,,
2012-10-16,9.136900199294804,,,
2012-10-17,9.054878048780488,,,
2012-10-18,8.995273669766732,,,
2012-10-19,8.952819332566166,,,
2012-10-20,8.899117759877253,,,
2012-10-21,8.684311469121596,,,
2012-10-22,8.795835566102733,,,
2012-10-23,8.904267589388697,,,
2012-10-24,8.808530366249421,,,
2012-10-25,8.119756792118835,,,
2012-10-26,7.747133560582585,,,
2012-10-27,8.080260303687636,,,
2012-10-28,8.165478772854044,,,
2012-10-29,8.373391223445495,,,
2012-10-30,8.33204752353032,,,
2012-10-31,8.466097129223428,,,
2012-11-01,8.362235067437378,,,
2012-11-02,8.303501945525293,,,
2012-11-03,8.295719844357977,,,
2012-11-04,8.280155642023347,,,
2012-11-05,8.437035297800735,,,
2012-11-06,8.390625,,,
2012-11-07,8.473246508708616,,,
2012-11-08,8.487751256281406,,,
2012-11-09,8.507956514888924,,,
2012-11-10,8.51583425240271,,,
2012-11-11,8.523711989916496,,,
2012-11-12,8.535531998429525,,,
2012-11-13,8.561751732829237,,,
2012-11-14,8.62014772905862,,,
2012-11-15,8.662590153653182,,,
2012-11-16,8.991761475088271,,,
2012-11-17,9.078069831306395,,,
2012-11-18,9.030992546096508,,,
2012-11-19,9.128663218931202,,,
2012-11-20,9.095167460379422,,,
2012-11-21,9.113627489262008,,,
2012-11-22,9.214302334600172,,,
2012-11-23,9.419784646370749,,,
2012-11-24,9.489503447207376,,,
2012-11-25,9.535982647765126,,,
2012-11-26,9.41067571737118,,,
2012-11-27,9.312553043746625,,,
2012-11-28,9.479481809014041,,,
2012-11-29,9.519778359242727,,,
2012-11-30,9.571846604035114,,,
2012-12-01,9.50254119821346,,,
2012-12-02,9.564146003388265,,,
2012-12-03,9.64999617063644,,,
2012-12-04,9.616559731133517,,,
2012-12-05,10.10332950631458,,,
2012-12-06,10.289167686658507,,,
2012-12-07,10.360325455249903,,,
2012-12-08,10.3525765207284,,,
2012-12-09,10.298333979077876,,,
2012-12-10,10.286156225831402,,,
2012-12-11,10.274763334102978,,,
2012-12-12,10.345092024539877,,,
2012-12-13,10.33876271316051,,,
2012-12-14,10.327956578243253,,,
2012-12-15,10.22857579695742,,,
2012-12-16,10.144484366638636,,,
2012-12-17,10.030395136778115,,,
2012-12-18,9.963575656397026,,,
2012-12-19,10.07367313185987,,,
2012-12-20,10.078514268458402,,,
2012-12-21,9.993186463774698,,,
2012-12-22,9.993186463774698,,,
2012-12-23,9.94776288893936,,,
2012-12-24,10.009078529278257,,,
2012-12-25,10.01664397034347,,,
2012-12-26,9.971251323952185,,,
2012-12-27,9.950248756218905,,,
2012-12-28,9.997724341955548,,,
2012-12-29,10.028066449214899,,,
2012-12-30,10.012895395585222,,,
2012-12-31,10.034864332272246,,,
2013-01-01,10.019705926936487,,,
2013-01-02,9.87030613783743,,,
2013-01-03,10.06716531827202,,,
2013-01-04,10.136796802951123,,,
2013-01-05,10.106055948355365,,,
2013-01-06,10.106055948355365,,,
2013-01-07,10.123475726666154,,,
2013-01-08,10.31636863823934,,,
2013-01-09,10.401348039215685,,,
2013-01-10,10.676427972241289,,,
2013-01-11,10.546933855657677,,,
2013-01-12,10.464065089648939,,,
2013-01-13,10.275726985083622,,,
2013-01-14,10.568922869350123,,,
2013-01-15,10.655061154048173,,,
2013-01-16,10.943737290050462,,,
2013-01-17,11.490125673249551,,,
2013-01-18,11.685679975983188,,,
2013-01-19,11.543080156109276,,,
2013-01-20,11.633143200240168,,,
2013-01-21,12.399609697515574,,,
2013-01-22,13.028459863332582,,,
2013-01-23,13.12828207051763,,,
2013-01-24,12.952281069743051,,,
2013-01-25,12.985373821367585,,,
2013-01-26,12.985373821367585,,,
2013-01-27,13.067042839112036,,,
2013-01-28,13.887235941684024,,,
2013-01-29,14.404823941040723,,,
2013-01-30,14.363784063215418,,,
2013-01-31,15.099630996309964,,,
2013-02-01,14.914980944004691,,,
2013-02-02,14.526531808853708,,,
2013-02-03,14.871005570214011,,,
2013-02-04,14.979338842975208,,,
2013-02-05,15.143680283666988,,,
2013-02-06,15.469408892505735,,,
2013-02-07,16.02687140115163,,,
2013-02-08,16.74891580678929,,,
2013-02-09,17.30222820397787,,,
2013-02-10,17.7209510991476,,,
2013-02-11,17.87767903815996,,,
2013-02-12,18.95371335020092,,,
2013-02-13,18.5459940652819,,,
2013-02-14,20.559765888797177,,,
2013-02-15,20.26266416510319,,,
2013-02-16,20.637898686679176,,,
2013-02-17,20.24765478424015,,,
2013-02-18,20.161773517076096,,,
2013-02-19,22.01663045921043,,,
2013-02-20,22.43829468960359,,,
2013-02-21,22.751403003185196,,,
2013-02-22,23.054755043227665,,,
2013-02-23,22.402548157136355,,,
2013-02-24,22.58455938116184,,,
2013-02-25,22.872820204449788,,,
2013-02-26,23.782213045805612,,,
2013-02-27,23.906238069786973,,,
2013-02-28,25.538883387919874,,,
2013-03-01,26.576923076923073,,,
2013-03-02,26.276923076923072,,,
2013-03-03,26.407692307692304,,,
2013-03-04,28.077189205812257,,,
2013-03-05,31.264385453429494,,,
2013-03-06,32.466436517069425,,,
2013-03-07,32.03689469638739,,,
2013-03-08,33.430099312452256,,,
2013-03-09,35.14132925897632,,,
2013-03-10,34.598930481283425,,,
2013-03-11,37.1325227027859,,,
2013-03-12,34.35225618631733,,,
2013-03-13,36.19906016485633,,,
2013-03-14,36.29125763314524,,,
2013-03-15,35.83982882469815,,,
2013-03-16,35.717560751948646,,,
2013-03-17,36.09964847929085,,,
2013-03-18,38.94346043777555,,,
2013-03-19,45.89771322620519,,,
2013-03-20,49.594438006952494,,,
2013-03-21,55.948876839659185,,,
2013-03-22,53.98517145505098,,,
2013-03-23,49.351251158480075,,,
2013-03-24,54.23231387086809,,,
2013-03-25,58.067259373792034,,,
2013-03-26,62.0558276961356,,,
2013-03-27,69.94047619047619,,,
2013-03-28,69.12924638812963,,,
2013-03-29,70.28504490433424,,,
2013-03-30,71.9328387348692,,,
2013-03-31,75.08785630613042,,,
2013-04-01,81.76493557204218,,,
2013-04-02,90.34267912772586,,,
2013-04-03,104.28749610227628,,,
2013-04-04,105.32064284599781,,,
2013-04-05,109.54882571075403,,,
2013-04-06,108.93077873918418,,,
2013-04-07,127.44901112484548,,,
2013-04-08,142.51708515702987,,,
2013-04-09,175.61349693251532,,,
2013-04-10,123.79642365887207,,,
2013-04-11,63.57191859135605,,,
2013-04-12,84.2016549187864,,,
2013-04-13,70.21146184492798,,,
2013-04-14,69.80539380937788,,,
2013-04-15,56.57059857809036,,,
2013-04-16,51.86228958793511,,,
2013-04-17,68.5353035265443,,,
2013-04-18,83.78689152932158,,,
2013-04-19,89.75219214639725,,,
2013-04-20,96.49256576439191,,,
2013-04-21,90.59092642012962,,,
2013-04-22,94.91447418884712,,,
2013-04-23,105.68899153194765,,,
2013-04-24,114.5625096109488,,,
2013-04-25,108.4862385321101,,,
2013-04-26,105.62350950073083,,,
