,ADA,ADST,BIS,BTC,EMC2,ETH,FUN,IOTA,LTC,TRX,UBQ,XLM,XRP
2018-01-14 16:50:14.588034,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
2018-01-14 16:57:01.608876,926,136.71,36.6,0.007,45,2.14081,633.366,47.553,1.0,2760,18.222,929.07,922.5
