,ADA,ADST,BCH,BIS,BTC,DASH,EMC2,EOS,ETH,FUN,IOTA,LTC,NEO,ONT,TRX,UBQ,XLM,XMR,XRP,TOTAL
2018-05-28 20:13:00,34.0023506421307,41.161362709257006,242.9095843035403,40.92974546695754,705.558337506757,37.37776094788133,7.052417275500001,0.0,563.3954442130309,0.012407086796100001,57.097704293549704,332.1151195296735,55.11355113472256,0.0,0.0130031249931,21.765031643745726,31.318692240359997,79.42766227799824,375.85163954834746,2625.1018139452412
2018-05-28 20:31:00,34.0992970205969,40.842653283747005,242.37771817547443,42.032978199000354,705.2500911799651,37.33061439620843,7.0423173495,0.0,562.3322455632718,0.012360306502800003,57.29480585302981,332.22265564485656,55.204160064602256,0.0,0.013015862771399999,21.982373261452555,31.368197586662998,79.6455673329358,375.75196955068037,2624.8030206312583
2018-05-28 20:36:00,34.034354174149996,40.78692909837,242.21608544999754,42.03706890739616,705.8617219027415,37.346876174656074,7.0718431815,0.0,562.1315017618884,0.012321329265,57.285400592435415,332.35053643048883,55.05273602778143,0.0,0.0129858627663,21.98441035100786,31.358200160448,79.56937675411281,375.72526059210594,2624.8376087511115
2018-05-28 20:40:00,34.0351028087822,41.065079770197,242.23812627610184,42.05122905437651,705.4892981087426,37.41570509773908,7.072733213999999,0.0,562.4607640805331,0.0123179850792,57.302575414062005,332.50166826820794,55.077620007372154,0.0,0.0129975203697,21.99036491585158,31.295686121049,79.61458316395455,375.57152126514325,2625.207373071562
2018-05-28 20:45:00,34.0351028087822,41.041685025369006,242.38690185322125,42.018503383550794,705.4892981087426,37.39427484693869,7.071920577,0.0,561.6482296471264,0.012304339241999999,57.190939054467904,332.3679747196384,55.077620007372154,0.0,0.0130366100595,21.97798568745309,31.295686121049,79.58613868164288,375.57152126514325,2624.1791227367994
2018-05-28 20:50:00,34.0281780581358,40.734849328173006,241.97311158002665,41.17109729524344,705.4815190212602,37.40473785165587,7.073429760000001,0.0,561.0757380656319,0.0122930381433,57.2440992284205,332.176153541021,55.20337895309862,0.0,0.0130378532667,21.977828989097553,31.390240108416,79.49724967301609,375.3982387404826,2621.8551810850895
2018-05-28 21:01:00,33.995987378340395,39.967642514583005,241.75112897295412,40.79003202626542,702.925116525119,37.18035052028917,7.015655097,0.0,560.3120619118615,0.012269436588,57.165585744540905,330.9729116032196,54.87073705651842,0.0,0.013033879084799999,21.88490643604222,31.297251977585997,79.20315403984621,374.64908522761294,2614.006910347451
2018-05-28 21:10:00,33.8239917817677,39.898633863060006,240.46357737413945,40.7972694339902,702.5478308014435,37.162323897573465,7.0727719095,0.0,559.9955452307921,0.0122547528615,56.89896703926271,330.3276949117829,54.93668518165248,0.0,0.012952194285599999,21.88882391315285,31.240158226976998,78.87959804993311,372.9651183161458,2608.924196878321
2018-05-28 21:10:00,33.8239917817677,39.898633863060006,240.46357737413945,40.7972694339902,702.5478308014435,37.162323897573465,7.0727719095,0.0,559.9955452307921,0.0122547528615,56.89896703926271,330.3276949117829,54.93668518165248,0.0,0.012952194285599999,21.88882391315285,31.240158226976998,78.87959804993311,372.9651183161458,2608.924196878321
2018-05-28 21:20:00,33.5475635909902,38.96061009183,239.3709821313698,40.52193325734254,699.0141804889436,36.981049188270674,6.984736173,0.0,556.3842810814947,0.0121291340607,56.760750592692304,328.96169561038795,54.423383361971446,0.0,0.012917221475399998,21.738706197926717,31.108264435037995,77.52137400227376,371.9853557370777,2594.2899122961453
2018-05-28 21:31:00,33.5406388403438,38.915584010793,239.33477220259553,40.571965774477576,699.3681289513024,36.97449405271103,7.0361258265,0.0,554.7847034898319,0.0121486610769,56.6990030079264,329.11282744776906,54.611742812361655,0.0,0.0128700611298,21.56539701857007,31.067672471199,77.56200897776415,371.8869886394584,2593.0570722458106
2018-05-28 21:40:00,33.5707708293104,39.067591121559,239.43894134559827,40.6242009782155,699.2533874165903,36.83494530211867,6.9437173229999996,0.0,555.1214007656845,0.0121571561331,56.284353672970504,329.51390809381553,54.511983719543,0.0,0.0128688790686,21.595326542966422,31.134040942851,77.5828344024298,372.0407279664211,2593.5431564582755
2018-05-28 21:50:00,33.5344627243296,39.064064276979,239.23795000172927,40.628291686611306,699.1065571482745,36.76649456009684,6.926419750500001,0.0,554.8038219480476,0.0121593087063,56.23773629251141,329.3744017823088,54.531846268168685,0.0,0.0128149728261,21.59987081532142,31.004315266427998,77.34207217396347,371.53781794155043,2591.7210969183525
2018-05-28 22:01:00,33.2670179967912,38.80742735709,238.61687100573505,40.55340024697298,698.5766068395408,36.78250421793476,6.937293617999999,0.0,553.1437025757406,0.0120632495238,56.16494775234421,329.0372615289095,54.38711747254804,0.0,0.012569694297600001,21.448969604673163,30.856160608119,77.14600841871378,370.09097444501134,2585.8408966319457
2018-05-28 22:11:00,33.1131764527089,38.407482894627,238.18681250345855,40.95586307065612,697.7034043126056,36.843517402556095,6.884859141000001,0.0,551.6471522261884,0.0120642489264,56.119557144179105,328.3455427339752,54.09844099268063,0.0,0.0125360869629,21.42264416067637,30.818700357353997,77.18765926863574,368.55748972401915,2580.3169027212098
2018-05-28 22:20:00,32.70255801784,38.251478684222995,235.9958494202866,40.869643514897206,696.6746200450679,36.7271637468856,6.982878716999999,0.0,549.1065216838577,0.0119579265345,55.5343863319641,327.45037723421115,53.735782098446556,0.0,0.012364972820700001,21.189319235993715,30.809666528697,77.13889729828354,365.7419752187157,2568.935440675725
