,btc,eth,ltc,xrp
2018-02-28 10:08:31.235686,8654.9,707.0,173.12,0.74513
2018-02-28 10:08:41.787599,8654.9,705.93,173.13,0.7451
2018-02-28 10:08:52.446586,8654.9,705.93,173.13,0.7451
2018-02-28 10:09:02.789370,8654.9,705.93,173.35,0.7451
2018-02-28 10:09:13.025712,8654.9,708.46,173.35,0.7451
2018-02-28 10:09:23.364760,8667.65,708.49,173.35,0.7451
2018-02-28 10:09:34.054469,8667.65,708.49,173.35,0.7451
2018-02-28 10:09:44.369699,8667.65,708.49,173.35,0.743
2018-02-28 10:09:54.750671,8667.65,708.49,173.2,0.743
2018-02-28 10:10:04.989959,8657.1,708.49,173.2,0.743
2018-02-28 10:10:15.529207,8657.0,708.49,173.2,0.743
2018-02-28 10:10:25.742403,8657.0,708.49,173.39,0.743
2018-02-28 10:10:36.047000,8657.0,708.49,173.39,0.74235
2018-02-28 10:10:46.360336,8657.0,708.49,173.39,0.74235
2018-02-28 10:10:56.854797,8657.0,709.77,173.21,0.74235
2018-02-28 10:11:07.059914,8676.5,709.77,173.21,0.74235
2018-02-28 10:11:17.671846,8676.5,709.77,173.22,0.74235
2018-02-28 10:11:28.435094,8676.5,709.77,173.22,0.74235
2018-02-28 10:11:38.916531,8676.5,709.77,173.22,0.74235
2018-02-28 10:11:49.210841,8676.5,709.77,173.22,0.74235
2018-02-28 10:11:59.455019,8676.5,709.77,173.22,0.74235
2018-02-28 10:12:09.981164,8676.5,709.77,173.22,0.74235
2018-02-28 10:12:20.713646,8676.5,709.77,173.22,0.74235
2018-02-28 10:12:31.082975,8676.5,709.77,173.22,0.74235
2018-02-28 10:12:41.490819,8676.5,707.52,173.49,0.74235
2018-02-28 10:12:51.940193,8676.5,707.52,173.49,0.74235
2018-02-28 10:13:02.587196,8676.5,707.52,173.49,0.74202
2018-02-28 10:13:12.840052,8676.34,707.52,173.49,0.74202
2018-02-28 10:13:23.252721,8664.5,707.91,173.49,0.74202
2018-02-28 10:13:33.612957,8685.0,707.91,172.62,0.743
2018-02-28 10:13:43.836518,8685.0,707.91,172.62,0.743
2018-02-28 10:13:54.169506,8669.61,707.91,172.62,0.743
2018-02-28 10:14:04.765029,8672.24,707.91,172.62,0.743
2018-02-28 10:14:15.005988,8672.24,710.45,172.62,0.743
2018-02-28 10:14:25.439622,8685.59,710.45,172.62,0.743
2018-02-28 10:14:35.771522,8685.59,710.45,172.62,0.743
2018-02-28 10:14:46.450212,8680.6,710.45,172.62,0.743
2018-02-28 10:14:56.788378,8675.66,710.45,172.62,0.743
2018-02-28 10:15:07.160792,8682.42,707.4,172.62,0.743
2018-02-28 10:15:17.726281,8701.86,707.4,173.89,0.743
2018-02-28 10:15:28.033999,8701.86,710.87,174.09,0.743
2018-02-28 10:15:38.410909,8675.59,710.87,174.09,0.743
2018-02-28 10:15:48.802972,8675.59,709.28,174.09,0.743
2018-02-28 10:15:59.139758,8682.43,709.28,174.09,0.743
2018-02-28 10:16:09.591856,8702.64,710.12,173.91,0.743
2018-02-28 10:16:20.177666,8687.51,710.12,173.91,0.743
