,ADA,ADST,BCH,BIS,BTC,DASH,EMC2,ETH,FUN,ICX,IOTA,LTC,NEM,NEO,QTUM,STEEM,STRAAT,TRX,TotalMarketCap,UBQ,VEN,XLM,XMR,XRB,XRP,XVG
2013-12-27 00:00:00,,,,,532.1195888229333,,,,,,,16.845229477341828,,,,,,,,,,,,,0.01960040538584045,
2013-12-28 00:00:00,,,,,526.8785290285218,,,,,,,16.331258143911974,,,,,,,,,,,,,0.019764731431880702,
2013-12-29 00:00:00,,,,,539.344143622412,,,,,,,17.424352106558565,,,,,,,,,,,,,0.019703199652526426,
2013-12-30 00:00:00,,,,,548.5960966407894,,,,,,,17.688456794602047,,,,,,,,,,,,,0.019923093666110427,
2013-12-31 00:00:00,,,,,546.7406279457617,,,,,,,17.656442607497645,,,,,,,,,,,,,0.01981727213400044,
2014-01-01 00:00:00,,,,,559.3503009208904,,,,,,,17.85222246392575,,,,,,,,,,,,,0.019537379450366186,
2014-01-02 00:00:00,,,,,587.4871869966322,,,,,,,18.860740957680484,,,,,,,,,,,,,0.02103236198564944,
2014-01-03 00:00:00,,,,,600.498753117207,,,,,,,18.204488778054863,,,,,,,,,,,,,0.020263312307466627,
2014-01-04 00:00:00,,,,,630.4166055449613,,,,,,,18.417192313334308,,,,,,,,,,,,,0.020631509461640017,
2014-01-05 00:00:00,,,,,684.7073492738741,,,,,,,19.678744315681385,,,,,,,,,,,,,0.018504474108845537,
2014-01-06 00:00:00,,,,,700.8454639023672,,,,,,,21.482134980149976,,,,,,,,,,,,,0.018894280252903985,
2014-01-07 00:00:00,,,,,587.9334359651051,,,,,,,17.044204970310098,,,,,,,,,,,,,0.01685067077193754,
2014-01-08 00:00:00,,,,,619.9205531852289,,,,,,,17.941739002501105,,,,,,,,,,,,,0.017086214506399883,
2014-01-09 00:00:00,,,,,622.1422274463707,,,,,,,17.94739935351161,,,,,,,,,,,,,0.016432559506317956,
2014-01-10 00:00:00,,,,,639.1992345624493,,,,,,,18.348421285051888,,,,,,,,,,,,,0.016807978214469714,
2014-01-11 00:00:00,,,,,672.6650474718482,,,,,,,19.717376904393905,,,,,,,,,,,,,0.01767792743063222,
2014-01-12 00:00:00,,,,,635.3278869507617,,,,,,,18.466180908221094,,,,,,,,,,,,,0.016224332082137336,
2014-01-13 00:00:00,,,,,616.0831990625459,,,,,,,17.775010985791713,,,,,,,,,,,,,0.015866412772813827,
2014-01-14 00:00:00,,,,,609.6948854905978,,,,,,,17.633716250823152,,,,,,,,,,,,,0.015501573132362625,
2014-01-15 00:00:00,,,,,632.7355578421284,,,,,,,18.535940026458913,,,,,,,,,,,,,0.016331765397618696,
2014-01-16 00:00:00,,,,,614.5693903066854,,,,,,,17.989262337280284,,,,,,,,,,,,,0.015462234316393325,
2014-01-17 00:00:00,,,,,599.7055359246173,,,,,,,17.454358068315667,,,,,,,,,,,,,0.015113368669022378,
2014-01-18 00:00:00,,,,,618.3745583038867,,,,,,,18.07273262661955,,,,,,,,,,,,,0.01566401648998822,
2014-01-19 00:00:00,,,,,641.1660777385158,,,,,,,18.72791519434629,,,,,,,,,,,,,0.015367343934040047,
2014-01-20 00:00:00,,,,,641.4565826330532,,,,,,,18.575851393188852,,,,,,,,,,,,,0.014636591478696741,
2014-01-21 00:00:00,,,,,638.7032382078959,,,,,,,18.28330622504805,,,,,,,,,,,,,0.01473236729262162,
2014-01-22 00:00:00,,,,,623.3156420462923,,,,,,,17.43328910511573,,,,,,,,,,,,,0.01429234851835471,
2014-01-23 00:00:00,,,,,602.7128088569543,,,,,,,16.408827626658848,,,,,,,,,,,,,0.013588972798592272,
2014-01-24 00:00:00,,,,,582.355519836341,,,,,,,15.138452546211731,,,,,,,,,,,,,0.013243223496748741,
2014-01-25 00:00:00,,,,,623.6647914079052,,,,,,,16.862716446262876,,,,,,,,,,,,,0.013984803097830057,
2014-01-26 00:00:00,,,,,646.8035362022357,,,,,,,17.62256155475999,,,,,,,,,,,,,0.014706655950902316,
2014-01-27 00:00:00,,,,,564.789866744765,,,,,,,14.65807585297994,,,,,,,,,,,,,0.013887099136037487,
2014-01-28 00:00:00,,,,,595.2890321635284,,,,,,,15.78870246904535,,,,,,,,,,,,,0.015096344054509488,
2014-01-29 00:00:00,,,,,606.9958847736625,,,,,,,16.108171663727223,,,,,,,,,,,,,0.014944885361552031,
2014-01-30 00:00:00,,,,,603.3814645646088,,,,,,,15.97907764844556,,,,,,,,,,,,,0.01498231913953146,
2014-01-31 00:00:00,,,,,614.0278188813259,,,,,,,16.37318733353063,,,,,,,,,,,,,0.015170168688961231,
2014-02-01 00:00:00,,,,,615.9958567623557,,,,,,,16.624741047647234,,,,,,,,,,,,,0.015313702278780704,
2014-02-02 00:00:00,,,,,610.6614382953537,,,,,,,16.572950577093813,,,,,,,,,,,,,0.015951464930452797,
2014-02-03 00:00:00,,,,,610.3348644243591,,,,,,,16.23203437546303,,,,,,,,,,,,,0.015855682323307155,
2014-02-04 00:00:00,,,,,612.4417486500481,,,,,,,15.873955174199276,,,,,,,,,,,,,0.015531474221466082,
2014-02-05 00:00:00,,,,,599.5052794801743,,,,,,,15.343720002953555,,,,,,,,,,,,,0.015031381525511334,
2014-02-06 00:00:00,,,,,579.1404223786587,,,,,,,14.753612449055204,,,,,,,,,,,,,0.014636532048907002,
2014-02-07 00:00:00,,,,,524.8268749079123,,,,,,,13.658464711949316,,,,,,,,,,,,,0.01353838220126713,
2014-02-08 00:00:00,,,,,496.4785619566818,,,,,,,13.319581552968913,,,,,,,,,,,,,0.012882716958892,
