,ADA,ADST,BIS,BTC,DASH,EMC2,ETH,FUN,IOTA,LTC,TRX,UBQ,XLM,XMR,XRP,TOTAL
2018-01-01 00:00:00,562.6085066288668,46.69046040190111,108.03301926123572,79.71349954139914,0.0,33.69761944467606,1379.200732427249,45.37230594846994,157.41299924956226,190.96973234386726,118.96789794046526,84.32594013174352,371.85110694571836,0.0,1838.3848911865252,5017.22871145168
2018-01-02 00:00:00,600.6428197264817,62.01614312474099,135.90385412349775,86.92474098632407,0.0,36.350600911728144,1569.3476969747207,46.97512621467053,157.65602983837547,211.9187733112309,179.99363447990055,89.71295482801496,434.90024668048073,0.0,1896.2287608785746,5508.571382078742
2018-01-03 00:00:00,831.805705730683,67.16096214755053,112.02528487066458,88.50286950012477,0.0,36.941395658321554,1714.2149240622143,57.074057366713795,163.34849039341262,204.08383930799306,217.40021625218336,104.12138401397327,692.5539539965067,0.0,2386.238875488647,6675.471958788989
2018-01-04 00:00:00,851.93535018649,73.50499544135933,143.4877745544965,90.50509738914214,0.0,40.65478657273104,1740.541521094074,91.42938750435144,160.80915043514298,200.05801906340656,475.7631496062992,98.77486945710734,557.5575080812267,0.0,2446.746788230419,6971.768397616246
2018-01-05 00:00:00,768.444694063927,81.2705481444583,127.92528019925282,101.29223744292236,0.0,34.670547945205485,1773.2909532586139,84.41462084682442,148.04794520547946,206.94894146948945,505.381320049813,99.24144458281444,511.17130580323794,0.0,2335.927770859278,6778.0276098713175
2018-01-06 00:00:00,791.8472395184725,72.8833981569116,158.61519302615196,101.85886259858862,0.0,34.37170610211706,1851.422964549606,90.86396413449566,155.54904109589043,246.11872146118716,400.53110834371114,87.89524283935245,547.6036539227896,0.0,2366.562889165629,6906.123984914903
2018-01-07 00:00:00,776.4715649647158,81.42388580323787,180.18929016189293,95.76023246160231,0.0,33.185902864259035,2049.5789686176845,88.17800852801993,160.6813698630137,239.47696139476963,457.49090909090904,99.39272727272729,539.6589291407223,0.0,2588.6674968866746,7390.156247050229
2018-01-08 00:00:00,695.2942888165037,94.51339032823854,184.635429716863,88.69180656477073,0.0,29.954973690804305,2053.6077084272947,101.89241801553493,152.90992232523178,213.61396475402992,350.37223753445255,94.359308443999,488.3363564770734,0.0,1895.3896266599847,6443.571431754782
2018-01-09 00:00:00,632.2930087160576,95.95444834897755,193.24505531344283,85.62504190412336,0.0,31.082773214884348,2331.9614393228294,94.133305152531,141.08080791149848,207.0398927254441,288.63419376466646,91.47651692926584,456.0112577187395,0.0,1623.5752598055644,6272.113000828024
2018-01-10 00:00:00,612.4333272181455,105.28779018512341,202.04469646430954,87.4025183455637,0.0,28.966536024016,2241.8879371247494,85.73574281187459,149.89187791861238,208.90593729152766,298.1706804536357,87.06809539693134,439.2241953802536,0.0,1515.4477985323551,6062.467133147098
2018-01-11 00:00:00,530.4730897894649,101.2253535408172,237.56345177664986,78.08987268036947,0.0,23.922572189398355,2057.4899669634688,69.16217576599817,133.355754348007,190.87126570691518,250.5290837979529,70.9652658733461,431.50380529250236,0.0,1496.9418324040942,5672.093490128985
2018-01-12 00:00:00,684.7593375628244,182.47524099859936,254.51429513059242,80.6329405948752,0.0,28.716169564142703,2245.7603130921975,74.13988164455797,144.57491142786517,195.15531020845347,247.54723572546763,88.27993738156054,518.9686884732636,0.0,1550.5479113454726,6296.0721731498725
