,ADA,ADST,BIS,BTC,DASH,EMC2,ETH,FUN,IOTA,LTC,TRX,UBQ,XLM,XMR,XRP
2018-01-01 00:00:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-18 01:36:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-18 01:43:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.14081,633.366,47.553,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-18 08:02:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-18 22:29:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.14081,633.366,47.553,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-18 22:41:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-21 17:00:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-01-21 17:01:00,926.0,136.71,36.6,0.006999999999999999,0.0,45.0,2.1408099999999997,633.366,47.553000000000004,1.0,2760.0,18.222,929.07,0.0,922.5
2018-02-06 00:00:00,0.073,136.71,36.59233533,0.08074255978,0.286593,45.0,2.14081031,2550.366,47.553,1.50000003,0.237,18.22222222,279.07,1.32867,130.0
