,strategy,min_gain,pct_gap,period
2018-01-29 12:00:00,-26.909599550870283,0.0025,0.01,H
2018-01-29 13:00:00,-24.44402430639785,0.0025,0.01,H
2018-01-29 14:00:00,-25.13411906438246,0.0025,0.01,H
2018-01-29 15:00:00,-26.61169813817928,0.0025,0.01,H
2018-01-29 16:00:00,-26.75176960896134,0.0025,0.01,H
2018-01-29 17:00:00,-26.787713424877197,0.0025,0.01,H
2018-01-29 18:00:00,-26.804630619801728,0.0025,0.01,H
2018-01-29 19:00:00,-26.233369506616782,0.0025,0.01,H
2018-01-29 20:00:00,-25.899696005761385,0.0025,0.01,H
2018-01-29 21:00:00,-26.13133347480884,0.0025,0.01,H
2018-01-29 22:00:00,-26.752446889736447,0.0025,0.01,H
2018-01-29 23:00:00,-27.636200003490075,0.0025,0.01,H
2018-01-30 00:00:00,-27.64068570482202,0.0025,0.01,H
2018-01-30 01:00:00,-26.174580825850967,0.0025,0.01,H
2018-01-30 02:00:00,-26.10776012526155,0.0025,0.01,H
2018-01-30 03:00:00,-29.8439883879564,0.0025,0.01,H
2018-01-30 04:00:00,-24.79036186670149,0.0025,0.01,H
2018-01-30 05:00:00,-25.562098891660185,0.0025,0.01,H
2018-01-30 06:00:00,-25.5563143218359,0.0025,0.01,H
2018-01-30 07:00:00,-25.99804995489508,0.0025,0.01,H
2018-01-30 08:00:00,-26.012707972212255,0.0025,0.01,H
2018-01-30 09:00:00,-25.597900551261134,0.0025,0.01,H
2018-01-30 10:00:00,-25.18602162642226,0.0025,0.01,H
2018-01-30 11:00:00,-25.374852391734294,0.0025,0.01,H
2018-01-30 12:00:00,-25.230709174553397,0.0025,0.01,H
2018-01-30 13:00:00,-29.276118048309442,0.0025,0.01,H
2018-01-30 14:00:00,-29.65907682014327,0.0025,0.01,H
2018-01-30 15:00:00,-27.129228609831515,0.0025,0.01,H
2018-01-30 16:00:00,-27.40393069105056,0.0025,0.01,H
2018-01-30 17:00:00,-27.48056659081223,0.0025,0.01,H
2018-01-30 18:00:00,-19.61466704549258,0.0025,0.01,H
2018-01-30 19:00:00,-22.74096019125669,0.0025,0.01,H
2018-01-30 20:00:00,-19.80586352021531,0.0025,0.01,H
2018-01-30 21:00:00,-19.191755085645923,0.0025,0.01,H
2018-01-30 22:00:00,-20.80349275378188,0.0025,0.01,H
2018-01-30 23:00:00,-20.26259493814564,0.0025,0.01,H
2018-01-31 00:00:00,-20.136612041912514,0.0025,0.01,H
2018-01-31 01:00:00,-17.526510273698904,0.0025,0.01,H
2018-01-31 02:00:00,-18.736962992958084,0.0025,0.01,H
2018-01-31 03:00:00,-19.20709966954982,0.0025,0.01,H
2018-01-31 04:00:00,-18.571009420810682,0.0025,0.01,H
2018-01-31 05:00:00,-19.03438944307871,0.0025,0.01,H
2018-01-31 06:00:00,-25.141323278981233,0.0025,0.01,H
2018-01-31 07:00:00,-24.07808627539943,0.0025,0.01,H
2018-01-31 08:00:00,-22.409107782740335,0.0025,0.01,H
2018-01-31 09:00:00,-24.31110356910395,0.0025,0.01,H
2018-01-31 10:00:00,-23.741216704578193,0.0025,0.01,H
2018-01-31 11:00:00,-26.350425060555338,0.0025,0.01,H
2018-01-31 12:00:00,-25.17630524470738,0.0025,0.01,H
2018-01-31 13:00:00,-20.444820256030724,0.0025,0.01,H
2018-01-31 14:00:00,-22.278344464196465,0.0025,0.01,H
2018-01-31 15:00:00,-22.2355384673414,0.0025,0.01,H
2018-01-31 16:00:00,-24.050355703090744,0.0025,0.01,H
2018-01-31 17:00:00,-25.04723818125015,0.0025,0.01,H
2018-01-31 18:00:00,-20.55048551058563,0.0025,0.01,H
2018-01-31 19:00:00,-22.357056449525984,0.0025,0.01,H
2018-01-31 20:00:00,-22.481433568514774,0.0025,0.01,H
2018-01-31 21:00:00,-22.421051557291676,0.0025,0.01,H
2018-01-31 22:00:00,-23.743063998538105,0.0025,0.01,H
2018-01-31 23:00:00,-21.129752538615776,0.0025,0.01,H
2018-02-01 00:00:00,-24.180687753651327,0.0025,0.01,H
2018-02-01 01:00:00,-23.748598176552733,0.0025,0.01,H
2018-02-01 02:00:00,-22.048139160525196,0.0025,0.01,H
2018-02-01 03:00:00,-21.890373942403457,0.0025,0.01,H
2018-02-01 04:00:00,-22.274308192038163,0.0025,0.01,H
2018-02-01 05:00:00,-26.213197772983804,0.0025,0.01,H
2018-02-01 06:00:00,-25.657668953165057,0.0025,0.01,H
2018-02-01 07:00:00,-25.601367145134986,0.0025,0.01,H
2018-02-01 08:00:00,-21.2442773752648,0.0025,0.01,H
2018-02-01 09:00:00,-34.29116629025938,0.0025,0.01,H
2018-02-01 10:00:00,-20.785958781000375,0.0025,0.01,H
2018-02-01 11:00:00,-22.46826378747295,0.0025,0.01,H
2018-02-01 12:00:00,-34.678086314928706,0.0025,0.01,H
2018-02-01 13:00:00,-22.628064339519867,0.0025,0.01,H
2018-02-01 14:00:00,-34.348621778007285,0.0025,0.01,H
2018-02-01 15:00:00,-34.875457141210504,0.0025,0.01,H
2018-02-01 16:00:00,-30.574260611139053,0.0025,0.01,H
2018-02-01 17:00:00,-32.36195957467291,0.0025,0.01,H
2018-02-01 18:00:00,-33.80969574149913,0.0025,0.01,H
2018-02-01 19:00:00,-29.489910745127915,0.0025,0.01,H
2018-02-01 20:00:00,-29.260549562572223,0.0025,0.01,H
2018-02-01 21:00:00,-31.462877482811038,0.0025,0.01,H
2018-02-01 22:00:00,-28.066251307759913,0.0025,0.01,H
2018-02-01 23:00:00,-29.510468204817215,0.0025,0.01,H
2018-02-02 00:00:00,-27.532119657403214,0.0025,0.01,H
2018-02-02 01:00:00,-28.86116904302358,0.0025,0.01,H
2018-02-02 02:00:00,-28.66556949408836,0.0025,0.01,H
2018-02-02 03:00:00,-25.29403224202356,0.0025,0.01,H
2018-02-02 04:00:00,-28.251619165975896,0.0025,0.01,H
